conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1795774530465726691,Wed May 29 11:09:46 +0000 2024,0,Ada satu tsk yang merintangi penyidikan soal korupsi timah siapa yaaaa?,1795774530465726691,,,in,"Yogyakarta, Indonesia",0,0,0,https://x.com/sapesih/status/1795774530465726691,485434069,sapesih
1795774233873969247,Wed May 29 11:08:35 +0000 2024,0,Kejagung Tetapkan Mantan Dirjen Minerba ESDM Sebagai Tersangka Korupsi Timah https://t.co/wl77uxE8BA,1795774233873969247,,,in,Jakarta,0,0,0,https://x.com/Kilas_berita_/status/1795774233873969247,2544978158,Kilas_berita_
1795772796796301680,Wed May 29 11:02:53 +0000 2024,0,Korupsi Timah Rugikan Negara Hingga Rp300 Triliun #BNetwork https://t.co/6bm64Oe8DU,1795772796796301680,,,in,Jakarta,0,0,0,https://x.com/Beritasatu/status/1795772796796301680,154102750,Beritasatu
1795771924179796476,Wed May 29 10:59:25 +0000 2024,0,Menurut Kalian Korupsi Timah 300 T Masih juga kurang pantas di HUKUM MATI ? Nanya ...,1795771924179796476,,,in,Indonesia,0,0,0,https://x.com/senyuuumdoong/status/1795771924179796476,3334646472,senyuuumdoong
1795756977114456123,Wed May 29 10:00:01 +0000 2024,0,Kejagung Periksa Eks Gubernur Babel Erzaldi Terkait Dugaan Korupsi Timah Rp. 271 Triliun https://t.co/HRh14GmR7a,1795756977114456123,,,in,Indonesia,0,0,0,https://x.com/politiknesiacom/status/1795756977114456123,1953620240,politiknesiacom
1795756974661103704,Wed May 29 10:00:00 +0000 2024,0,Kejagung Periksa Eks Gubernur Babel Erzaldi Terkait Dugaan Korupsi Timah Rp. 271 Triliun https://t.co/HRh14GnoWI,1795756974661103704,,,in,Indonesia,0,0,1,https://x.com/politiknesiacom/status/1795756974661103704,1953620240,politiknesiacom
1795756454324183330,Wed May 29 09:57:56 +0000 2024,0,Korupsi Komoditas Timah Kejagung RI Terima Laporan Audit BPKP Rugikan Negara Rp 300 Triliun https://t.co/ky9MfJ0GYX lewat @Aktual Online,1795756454324183330,,,in,,0,0,0,https://x.com/AktualonlineM/status/1795756454324183330,1472952488873455616,AktualonlineM
1795278047530369121,Wed May 29 09:57:37 +0000 2024,0,@CNNIndonesia 2 kalinya korupsi timah btw,1795756374598828452,,CNNIndonesia,in,"Pekalongan, Indonesia",0,0,0,https://x.com/Omongdoang_/status/1795756374598828452,1074973401402433536,Omongdoang_
1795756119660572966,Wed May 29 09:56:37 +0000 2024,49,Jampidsus Tegaskan Kerugian Negara Rp 300 Triliun dari Korupsi Timah Bakal Dibeberkan di Dakwaan https://t.co/ChfPavuhWM,1795756119660572966,,,in,,1,1,15,https://x.com/VIVAcoid/status/1795756119660572966,41730943,VIVAcoid
1795755776356852043,Wed May 29 09:55:15 +0000 2024,0,Korupsi PT Timah Menggelembung jadi Rp300 Triliun https://t.co/2QoLCdnOdQ #CrazyRichPIK #HarveyMuis #KejaksaanAgung #KorupsiTINS #PTTimah,1795755776356852043,,,in,Indonesia,1,0,0,https://x.com/kabarbursacom/status/1795755776356852043,1688678639477706758,kabarbursacom
1795755117188399299,Wed May 29 09:52:38 +0000 2024,69,Kejagung Tetapkan Eks Dirjen Minerba Jadi Tersangka Baru Kasus Korupsi Timah Ini Perannya https://t.co/Mq3TzWGlaa,1795755117188399299,,,in,Indonesia,8,3,16,https://x.com/KompasTV/status/1795755117188399299,71436318,KompasTV
1795755114684428578,Wed May 29 09:52:37 +0000 2024,9,[FULL] Kejagung dan BPKP Ungkap Perhitungan Kerugian Negara Kasus Korupsi Timah Capai Rp300 T! https://t.co/0AcxkUNFDp,1795755114684428578,,,in,Indonesia,1,0,3,https://x.com/KompasTV/status/1795755114684428578,71436318,KompasTV
1795754844508295372,Wed May 29 09:51:33 +0000 2024,0,ESDM Buka Suara soal Eks Dirjen Minerba Jadi Tersangka Korupsi Timah https://t.co/rMqWO9CwQM,1795754844508295372,,,in,,0,0,2,https://x.com/CNNIndonesia/status/1795754844508295372,17128975,CNNIndonesia
1795754748823707959,Wed May 29 09:51:10 +0000 2024,23,Kejaksaan Agung Ungkap Kerugian Korupsi Timah Rp300 T hingga Penguntitan Jampidsus https://t.co/gVekuK6YYC #TempoBisnis,1795754748823707959,,,in,Indonesia,4,4,15,https://x.com/tempodotco/status/1795754748823707959,18129942,tempodotco
1795751838878458132,Wed May 29 09:39:36 +0000 2024,2,Kerugian Negara Akibat Korupsi PT Timah Bertambah Jadi Rp 300 Triliun Jaksa Agung: Lumayan Fantastis https://t.co/zNaYDY6lSm #TempoMetro,1795751838878458132,,,in,Indonesia,1,0,1,https://x.com/tempodotco/status/1795751838878458132,18129942,tempodotco
1795750925795229705,Wed May 29 09:35:58 +0000 2024,0,WOW! Bukan 271 Triliun Ternyata Kerugian Negara Akibat Korupsi Timah Tembus Rp300 Triliun Lebih Baca berita selengkapnya di https://t.co/8XF7qCwYxN #korupsitimah #rugidong #indonesia #jadicepatpaham,1795750925795229705,,,in,Jakarta,0,0,0,https://x.com/Kilat_com/status/1795750925795229705,174631261,Kilat_com
